station_name,available_bikes
W 52 St & 11 Ave,1
Franklin St & W Broadway,33
St James Pl & Pearl St,25
Atlantic Ave & Fort Greene Pl,43
W 17 St & 8 Ave,0
Park Ave & St Edwards St,9
Lexington Ave & Classon Ave,4
Barrow St & Hudson St,11
MacDougal St & Prince St,29
Clinton St & Joralemon St,22
Nassau St & Navy St,19
Hudson St & Reade St,38
E 2 St & Avenue C,0
Cleveland Pl & Spring St,32
Warren St & Church St,28
E 40 St & 5 Ave,0
Henry St & Atlantic Ave,5
LaGuardia Pl & W 3 St,11
E 47 St & 2 Ave,36
E 39 St & 3 Ave,42
W 18 St & 6 Ave,44
Broadway & W 49 St,26
E 25 St & 1 Ave,0
Liberty St & Broadway,42
W 16 St & The High Line,23
Columbia Heights & Cranberry St,10
Old Fulton St,31
W 13 St & 7 Ave,0
Spruce St & Nassau St,0
E 48 St & 3 Ave,50
Great Jones St,4
Cadman Plaza E & Tillary St,19
St Marks Pl & 2 Ave,0
E 11 St & 2 Ave,2
Bank St & Washington St,1
Willoughby St & Fleet St,30
DeKalb Ave & S Portland Ave,0
Carlton Ave & Flushing Ave,22
Fulton St & Rockwell Pl,27
Willoughby Ave & Hall St,0
Myrtle Ave & St Edwards St,0
Perry St & Bleecker St,1
Laight St & Hudson St,21
Harrison St & Hudson St,26
Mott St & Prince St,10
MacDougal St & Washington Sq,4
W 13 St & 5 Ave,33
W 11 St & 6 Ave,0
Lispenard St & Broadway,38
DeKalb Ave & Vanderbilt Ave,0
South St & Whitehall St,38
Broad St & Bridge St,33
Johnson St & Gold St,14
Washington Park,1
Maiden Ln & Pearl St,26
Stanton St & Chrystie St,1
Avenue D & E 8 St,0
Broadway & W 36 St,48
Howard St & Centre St,23
Lafayette Ave & Fort Greene Pl,3
Washington Ave & Greene Ave,0
Duane St & Greenwich St,24
Concord St & Bridge St,12
Peck Slip & Front St,35
E 10 St & 5 Ave,8
Grand Army Plaza & Central Park S,13
Kent Ave & S 11 St,8
Greenwich Ave & 8 Ave,1
Broadway & E 14 St,16
Monroe St & Classon Ave,1
Madison St & Montgomery St,0
Lafayette St & E 8 St,11
Pike St & E Broadway,1
Division St & Bowery,3
E 15 St & 3 Ave,0
E 2 St & Avenue B,0
Avenue D & E 3 St,0
Mercer St & Spring St,31
Broadway & Battery Pl,22
E 58 St & 3 Ave,28
Cliff St & Fulton St,15
Canal St & Rutgers St,0
St James Pl & Oliver St,10
Murray St & West St,41
State St & Smith St,29
Norfolk St & Broome St,0
Allen St & Stanton St,23
Washington Ave & Park Ave,12
Cadman Plaza West & Montague St,38
South St & Gouverneur Ln,29
Fulton St & William St,0
E 6 St & Avenue B,0
Fulton St & Broadway,33
Leonard St & Church St,37
Cadman Plaza E & Red Cross Pl,27
Clinton St & Tillary St,28
Lawrence St & Willoughby St,38
DeKalb Ave & Hudson Ave,44
E 19 St & 3 Ave,0
E 11 St & 1 Ave,1
Vesey Pl & River Terrace,38
Watts St & Greenwich St,20
Reade St & Broadway,37
Pike St & Monroe St,1
Cherry St,4
W 20 St & 7 Ave,23
Washington Pl & Broadway,18
Sullivan St & Washington Sq,0
Old Slip & Front St,37
Avenue D & E 12 St,0
Madison St & Clinton St,0
Stanton St & Mangin St,1
Columbia St & Rivington St,1
Clinton Ave & Flushing Ave,8
Monroe St & Bedford Ave,3
W 13 St & 6 Ave,5
Bank St & Hudson St,0
Greenwich St & W Houston St,32
Rivington St & Ridge St,0
Clinton St & Grand St,0
Front St & Maiden Ln,38
S Portland Ave & Hanson Pl,21
Emerson Pl & Myrtle Ave,8
Bayard St & Baxter St,42
Bialystoker Pl & Delancey St,1
E 11 St & Broadway,4
Christopher St & Greenwich St,0
E 47 St & Park Ave,2
William St & Pine St,39
Allen St & Hester St,0
Broadway & W 37 St,42
West Thames St,46
Lafayette Ave & Classon Ave,1
Fulton St & Grand Ave,8
Clinton Ave & Myrtle Ave,2
Carmine St & 6 Ave,11
Washington Pl & 6 Ave,3
Franklin Ave & Myrtle Ave,10
Willoughby Ave & Walworth St,10
John St & William St,41
6 Ave & Canal St,6
W 31 St & 7 Ave,1
W 4 St & 7 Ave S,1
University Pl & E 14 St,18
Greenwich Ave & Charles St,0
Fulton St & Washington Ave,0
E 55 St & 2 Ave,6
Centre St & Worth St,41
Centre St & Chambers St,36
W 26 St & 10 Ave,34
Broadway & Berry St,1
Duffield St & Willoughby St,30
Clark St & Henry St,8
Jay St & Tech Pl,35
E 5 St & Avenue C,0
E 9 St & Avenue C,0
Bond St & Schermerhorn St,25
Lefferts Pl & Franklin Ave,12
Fulton St & Clermont Ave,1
Atlantic Ave & Furman St,18
Lafayette Ave & St James Pl,0
Pitt St & Stanton St,1
Allen St & Rivington St,0
Broadway & E 22 St,3
E 2 St & 2 Ave,0
Washington St & Gansevoort St,8
Hicks St & Montague St,1
Henry St & Poplar St,34
Market St & Cherry St,3
DeKalb Ave & Skillman St,2
Suffolk St & Stanton St,0
E 6 St & Avenue D,0
Forsyth St & Canal St,10
Pearl St & Anchorage Pl,22
Pearl St & Hanover Square,39
Cumberland St & Lafayette Ave,4
Barclay St & Church St,23
Front St & Gold St,23
Carlton Ave & Park Ave,0
Clermont Ave & Lafayette Ave,0
Clermont Ave & Park Ave,0
W 59 St & 10 Ave,0
W 54 St & 9 Ave,0
West St & Chambers St,16
Bus Slip & State St,47
E 3 St & 1 Ave,0
York St & Jay St,25
E 7 St & Avenue A,0
E 13 St & Avenue A,1
9 Ave & W 18 St,17
W 21 St & 6 Ave,40
Hancock St & Bedford Ave,0
Macon St & Nostrand Ave,9
St Marks Pl & 1 Ave,0
E 4 St & 2 Ave,0
E 45 St & 3 Ave,30
E 52 St & 2 Ave,33
W 27 St & 7 Ave,30
Bedford Ave & S 9 St,18
Broadway & W 24 St,48
E 10 St & Avenue A,0
W 24 St & 7 Ave,13
8 Ave & W 52 St,8
W 37 St & 10 Ave,2
W 52 St & 9 Ave,0
W 49 St & 8 Ave,1
W 22 St & 8 Ave,3
E 51 St & 1 Ave,31
1 Ave & E 44 St,38
E 53 St & Madison Ave,31
Broadway & W 58 St,1
11 Ave & W 27 St,28
W 20 St & 11 Ave,38
S 4 St & Wythe Ave,16
E 20 St & 2 Ave,1
W 22 St & 10 Ave,3
Broadway & W 41 St,15
W 25 St & 6 Ave,16
Dean St & 4 Ave,33
Broadway & W 56 St,1
Broadway & W 53 St,1
W 20 St & 8 Ave,0
Grand St & Havemeyer St,1
E 32 St & Park Ave,32
Rivington St & Chrystie St,0
5 Ave & E 29 St,35
E 31 St & 3 Ave,0
W 41 St & 8 Ave,1
11 Ave & W 41 St,0
9 Ave & W 45 St,1
W 53 St & 10 Ave,0
S 3 St & Bedford Ave,0
W 15 St & 7 Ave,7
E 12 St & 3 Ave,4
W 44 St & 5 Ave,44
W 37 St & 5 Ave,33
Broadway & W 29 St,36
E 20 St & FDR Drive,0
W 39 St & 9 Ave,0
8 Ave & W 33 St,2
E 24 St & Park Ave S,7
W 33 St & 7 Ave,1
W 26 St & 8 Ave,1
W 47 St & 10 Ave,0
E 16 St & 5 Ave,46
E 17 St & Broadway,53
Broadway & W 32 St,5
Broadway & W 60 St,1
Broadway & W 51 St,7
FDR Drive & E 35 St,5
Henry St & Grand St,3
E 20 St & Park Ave,21
1 Ave & E 16 St,1
6 Ave & W 33 St,6
E 25 St & 2 Ave,1
W 46 St & 11 Ave,1
9 Ave & W 22 St,5
W 56 St & 10 Ave,3
12 Ave & W 40 St,3
W 43 St & 10 Ave,1
E 47 St & 1 Ave,30
Pershing Square South,58
E 39 St & 2 Ave,36
Pershing Square North,58
W 52 St & 5 Ave,3
E 51 St & Lexington Ave,51
W 38 St & 8 Ave,2
W 43 St & 6 Ave,55
W 34 St & 11 Ave,2
E 33 St & 5 Ave,37
E 33 St & 2 Ave,3
2 Ave & E 31 St,2
W 42 St & 8 Ave,0
11 Ave & W 59 St,1
Forsyth St & Broome St,1
S 5 Pl & S 4 St,10
Broadway & W 39 St,0
Water - Whitehall Plaza,29
1 Ave & E 30 St,11
Lexington Ave & E 24 St,2
Metropolitan Ave & Bedford Ave,27
Lexington Ave & E 29 St,8
E 23 St & 1 Ave,2
E 30 St & Park Ave S,32
Front St & Washington St,30
Sands St & Navy St,15
Wythe Ave & Metropolitan Ave,8
1 Ave & E 18 St,0
Railroad Ave & Kay Ave,6
Central Park S & 6 Ave,28
Little West St & 1 Pl,23
Catherine St & Monroe St,0
Grand St & Greene St,38
E 27 St & 1 Ave,1
W 45 St & 8 Ave,1
E 60 St & York Ave,4
E 55 St & Lexington Ave,32
South End Ave & Liberty St,13
Kent Ave & N 7 St,45
Kingston Ave & Herkimer St,16
Fulton St & Utica Ave,2
Lewis Ave & Decatur St,0
Albany Ave & Fulton St,14
Marcus Garvey Blvd & Macon St,3
Halsey St & Tompkins Ave,0
Putnam Ave & Nostrand Ave,0
Cambridge Pl & Gates Ave,0
Putnam Ave & Throop Ave,0
Lewis Ave & Madison St,0
Marcy Ave & Lafayette Ave,1
Greene Ave & Throop Ave,1
Greene Ave & Nostrand Ave,0
Kosciuszko St & Nostrand Ave,2
Kosciuszko St & Tompkins Ave,0
Lewis Ave & Kosciuszko St,0
Pulaski St & Marcus Garvey Blvd,0
Willoughby Ave & Tompkins Ave,0
Throop Ave & Myrtle Ave,1
Myrtle Ave & Marcy Ave,5
Nostrand Ave & Myrtle Ave,11
Myrtle Ave & Lewis Ave,1
Union Ave & Wallabout St,10
Tompkins Ave & Hopkins St,18
Broadway & Whipple St,19
Humboldt St & Varet St,13
Lorimer St & Broadway,19
McKibbin St & Manhattan Ave,1
Boerum St & Broadway,7
Leonard St & Boerum St,7
Division Ave & Hooper St,8
Montrose Ave & Bushwick Ave,25
Division Ave & Marcy Ave,22
Scholes St & Manhattan Ave,1
Stagg St & Union Ave,1
Broadway & Roebling St,15
S 4 St & Rodney St,1
Graham Ave & Grand St,5
Hope St & Union Ave,0
Bushwick Ave & Powers St,3
Roebling St & N 4 St,0
Graham Ave & Conselyea St,16
Metropolitan Ave & Meeker Ave,0
Union Ave & Jackson St,1
N 8 St & Driggs Ave,31
Frost St & Meeker St,3
Berry St & N 8 St,22
N 6 St & Bedford Ave,21
Graham Ave & Withers St,0
Graham Ave & Herbert St,0
Union Ave & N 12 St,22
Nassau Ave & Newell St,0
N 12 St & Bedford Ave,12
Driggs Ave & Lorimer St,1
N 11 St & Wythe Ave,20
N 15 St & Wythe Ave,15
Driggs Ave & N Henry St,1
Bedford Ave & Nassau Ave,1
Nassau Ave & Russell St,0
Banker St & Meserole Ave,7
Meserole Ave & Manhattan Ave,5
Milton St & Franklin St,28
Greenpoint Ave & Manhattan Ave,17
India St & Manhattan Ave,1
Huron St & Franklin St,25
Franklin St & Dupont St,12
McGuinness Blvd & Eagle St,1
Vernon Blvd & 50 Ave,40
Center Blvd & Borden Ave,15
Jackson Ave & 46 Rd,23
48 Ave & 5 St,21
31 St & Thomson Ave,13
46 Ave & 5 St,12
45 Rd & 11 St,14
44 Dr & Jackson Ave,13
9 St & 44 Rd,32
21 St & 43 Ave,5
Queens Plaza North & Crescent St,5
21 St & Queens Plaza North,3
E 68 St & 3 Ave,1
E 59 St & Madison Ave,27
3 Ave & E 62 St,19
E 75 St & 3 Ave,1
5 Ave & E 63 St,13
5 Ave & E 73 St,1
E 72 St & Park Ave,1
1 Ave & E 78 St,0
1 Ave & E 68 St,0
1 Ave & E 62 St,1
5 Ave & E 78 St,0
E 81 St & Park Ave,0
E 84 St & Park Ave,1
E 81 St & 3 Ave,0
E 85 St & 3 Ave,1
E 84 St & 1 Ave,1
E 85 St & York Ave,0
E 81 St & York Ave,0
3 Ave & E 71 St,1
Lexington Ave & E 63 St,1
E 72 St & York Ave,0
East End Ave & E 86 St,0
W 63 St & Broadway,1
W 67 St & Broadway,0
Central Park West & W 76 St,0
W 76 St & Columbus Ave,1
W 78 St & Broadway,0
Central Park West & W 68 St,0
Columbus Ave & W 72 St,0
Central Park West & W 72 St,0
Riverside Dr & W 72 St,0
Amsterdam Ave & W 73 St,0
Central Park West & W 85 St,1
Riverside Dr & W 82 St,0
W 84 St & Columbus Ave,0
Amsterdam Ave & W 82 St,0
W 74 St & Columbus Ave,0
Riverside Blvd & W 67 St,1
W 70 St & Amsterdam Ave,0
W 64 St & West End Ave,1
W 84 St & Broadway,0
Riverside Dr & W 78 St,0
Park Ave & Marcus Garvey Blvd,3
Brooklyn Bridge Park - Pier 2,11
Yankee Ferry Terminal,32
Exchange Place,20
Paulus Hook,13
City Hall,10
Grove St PATH,27
Warren St,7
NJCU,8
West Side Light Rail,11
Garfield Ave Station,5
Union St,5
Liberty Light Rail,0
Lincoln Park,4
McGinley Square,2
Sip Ave,34
Riverview Park,1
Heights Elevator,15
Newport Pkwy,3
MLK Light Rail,2
Dey St,5
Newport PATH,17
Hamilton Park,3
JC Medical Center,5
Hilltop,1
Oakland Ave,0
Brunswick St,6
Pershing Field,0
Newark Ave,9
Christ Hospital,0
Van Vorst Park,6
Essex Light Rail,18
Journal Square,8
Columbia Park,3
Bayside Park,5
5 Corners Library,0
47 Ave & 31 St,24
E 55 St & 3 Ave,1
W 13 St & Hudson St,22
Baldwin at Montgomery,0
W 82 St & Central Park West,1
E 67 St & Park Ave,6
Bond St & Fulton St,9
E 48 St & 5 Ave,35
E 41 St & Madison Ave,29
W 42 St & Dyer Ave,1
E 80 St & 2 Ave,1
Monroe St & Tompkins Ave,0
Schermerhorn St & Court St,37
E 58 St & 1 Ave,1
University Pl & E 8 St,2
Verona Pl & Fulton St,1
Soissons Landing,11
8 Ave & W 31 St,5
Pier 40 - Hudson River Park,20
W 27 St & 10 Ave,36
9 Ave & W 28 St,4
Mercer St & Bleecker St,27
Cooper Square & E 7 St,1
Morris Canal,0
Lafayette Park,0
Brunswick & 6th,1
Jersey & 6th St,7
Danforth Light Rail,10
Jersey & 3rd,6
Manila & 1st,7
Bethune Center,5
Columbus Drive,10
